name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine
hyundai elite i20 asta option diesel,2019,850000,10000,diesel,individual,manual,first owner,22.54,1396.0
mahindra jeep cl 500 mdi,1994,120000,100000,diesel,individual,manual,second owner,19.462816502829906,1430.789693178433
honda wr-v i-dtec vx,2017,770000,65000,diesel,individual,manual,second owner,25.5,1498.0
honda civic 1.8 s mt,2007,245000,90000,petrol,individual,manual,third owner,13.5,1799.0
maruti alto k10 2010-2014 vxi,2012,250000,90000,petrol,individual,manual,first owner,20.92,998.0
hyundai i20 active sx diesel,2016,651000,42323,diesel,dealer,manual,first owner,21.19,1396.0
honda city v mt,2013,480000,42462,petrol,dealer,manual,first owner,16.8,1497.0
maruti swift vdi bsiv,2015,470000,54723,diesel,dealer,manual,first owner,25.2,1248.0
honda jazz 1.5 v i dtec,2016,500000,30000,diesel,individual,manual,first owner,27.3,1498.0
bmw x1 sdrive20d m sport,2011,1075000,42545,diesel,dealer,automatic,first owner,19.62,1998.0
maruti s-cross 2017-2020 delta ddis 200 sh,2016,690000,32000,diesel,dealer,manual,first owner,25.1,1248.0
maruti swift dzire vdi optional,2017,589000,41232,diesel,dealer,manual,first owner,19.462816502829906,1430.789693178433
maruti ignis 1.2 delta bsiv,2018,480000,20375,petrol,dealer,manual,first owner,20.89,1197.0
maruti swift zdi plus,2013,450000,43978,diesel,dealer,manual,second owner,28.4,1248.0
mahindra bolero b4,2015,445000,40200,diesel,dealer,manual,first owner,21.0,1498.0
hyundai i20 1.2 asta option,2018,700000,30000,petrol,individual,manual,first owner,18.6,1197.0
maruti ertiga zdi,2014,560000,90000,diesel,individual,manual,first owner,20.77,1248.0
ford ecosport sports diesel,2013,475000,48000,diesel,dealer,manual,second owner,21.7,1498.0
honda amaze e diesel bsiv,2014,465000,27233,diesel,dealer,manual,first owner,27.4,1498.0
maruti swift dzire tour ldi,2017,520000,28832,diesel,dealer,manual,first owner,23.4,1248.0
tata manza aura safire,2011,225000,35000,petrol,individual,manual,first owner,15.0,1368.0
maruti ertiga zxi,2015,700000,35000,petrol,individual,manual,first owner,16.02,1373.0
honda city 2017-2020 gxi,2006,93150,80000,petrol,individual,manual,second owner,17.7,1497.0
mahindra quanto c4,2016,403000,30000,diesel,individual,manual,second owner,17.21,1493.0
hyundai i10 era,2009,229999,50000,petrol,individual,manual,second owner,19.81,1086.0
maruti swift dzire vdi,2016,525000,40000,diesel,individual,manual,second owner,26.59,1248.0
maruti ertiga vxi,2014,560000,25000,petrol,individual,manual,first owner,16.02,1373.0
mahindra xuv500 w7,2020,830000,120000,diesel,individual,manual,first owner,15.1,2179.0
maruti ritz vdi,2011,250000,60000,diesel,individual,manual,second owner,21.1,1248.0
mahindra bolero 2011-2019 di - ac bs iii,2014,450000,110000,diesel,individual,manual,first owner,15.96,2523.0
mahindra scorpio 1.99 s4,2016,745000,67000,diesel,individual,manual,first owner,15.4,1997.0
ford figo diesel titanium,2010,144000,50000,diesel,individual,manual,second owner,20.0,1399.0
maruti zen estilo 1.1 vxi bsiii,2008,120000,40000,petrol,individual,manual,first owner,18.2,1061.0
tata new safari dicor 2.2 ex 4x2,2008,300000,120000,diesel,individual,manual,second owner,11.57,2179.0
maruti 800 dx,1999,52000,100000,petrol,individual,manual,first owner,16.1,796.0
mahindra scorpio 2.6 crde,2003,300000,98000,diesel,individual,manual,first owner,10.5,2179.0
mahindra bolero di dx 7 seater,2009,270000,150000,diesel,individual,manual,second owner,13.6,2523.0
chevrolet sail lt abs,2014,260000,38000,diesel,individual,manual,first owner,22.1,1248.0
toyota etios gd,2015,475000,120000,diesel,individual,manual,first owner,23.59,1364.0
ford figo diesel titanium,2011,302000,103000,diesel,individual,manual,third owner,20.0,1399.0
maruti 800 ac,1994,45000,60000,petrol,individual,manual,first owner,16.1,796.0
maruti vitara brezza vdi option,2017,775000,80000,diesel,individual,manual,first owner,24.3,1248.0
maruti ertiga vdi,2015,700000,50000,diesel,individual,manual,first owner,20.77,1248.0
maruti swift vdi bsiv,2014,530000,90000,diesel,individual,manual,first owner,25.2,1248.0
tata nexon 1.5 revotorq xz plus,2017,869999,70000,diesel,individual,manual,first owner,21.5,1497.0
hyundai elantra crdi,2006,155000,110000,diesel,individual,manual,fourth & above owner,14.9,1991.0
tata tiago 1.2 revotron xza,2019,550000,30000,petrol,individual,automatic,first owner,23.84,1199.0
maruti swift dzire vdi,2016,600000,80000,diesel,individual,manual,second owner,26.59,1248.0
maruti swift dzire vdi,2012,430000,110000,diesel,individual,manual,second owner,19.3,1248.0
tata manza aura (abs) quadrajet,2010,246000,120000,diesel,individual,manual,first owner,18.8,1248.0
maruti zen vxi - bs iii,2003,120000,120000,petrol,individual,manual,third owner,17.3,993.0
hyundai i20 asta 1.2,2014,565000,70000,petrol,individual,manual,second owner,18.6,1197.0
hyundai elite i20 asta option diesel,2018,850000,60000,diesel,individual,manual,first owner,22.54,1396.0
maruti alto lxi bsiii,2006,160000,90000,petrol,individual,manual,first owner,19.7,796.0
fiat linea classic plus 1.3 multijet,2014,325000,142500,diesel,individual,manual,first owner,19.5,1248.0
mahindra scorpio vlx 2wd airbag bsiv,2011,450000,90000,diesel,individual,manual,third owner,12.05,2179.0
hyundai i10 sportz 1.1l,2015,310000,50000,petrol,individual,manual,first owner,19.81,1086.0
honda amaze s i-dtech,2013,250000,90000,diesel,individual,manual,third owner,25.8,1498.0
maruti swift dzire ldi,2015,420000,115000,diesel,individual,manual,second owner,26.59,1248.0
hyundai i20 sportz at 1.4,2013,330000,150000,petrol,individual,automatic,second owner,15.0,1396.0
maruti swift vxi optional,2015,405000,68000,petrol,individual,manual,second owner,20.4,1197.0
mahindra bolero 2011-2019 zlx,2013,400000,90000,diesel,individual,manual,second owner,15.96,2523.0
honda city v at,2010,409999,110000,petrol,individual,automatic,third owner,15.6,1497.0
mahindra bolero 2011-2019 slx 2wd bsiii,2013,500000,70000,diesel,individual,manual,second owner,15.96,2523.0
mahindra xuv500 w8 4wd,2011,590000,80000,diesel,individual,manual,third owner,15.1,2179.0
hyundai santro xing xs erlx euro iii,2006,80000,118000,petrol,individual,manual,first owner,19.462816502829906,1430.789693178433
hyundai i10 era,2007,135000,100000,petrol,individual,manual,second owner,19.81,1086.0
maruti wagon r lxi,2004,70000,70000,petrol,individual,manual,second owner,18.9,998.0
maruti 800 std bsii,2004,45000,77000,petrol,individual,manual,third owner,16.1,796.0
maruti swift dzire vdi,2018,650000,35500,diesel,individual,manual,first owner,28.4,1248.0
maruti wagon r vxi optional,2018,400000,17500,petrol,individual,manual,first owner,20.51,998.0
maruti alto k10 vxi,2017,350000,27000,petrol,individual,manual,first owner,23.95,998.0
hyundai grand i10 1.2 crdi asta,2017,550000,60000,diesel,individual,manual,first owner,24.0,1186.0
maruti wagon r lxi optional,2016,350000,25000,petrol,individual,manual,first owner,20.51,998.0
maruti swift dzire ldi optional,2015,459999,80000,diesel,individual,manual,first owner,26.59,1248.0
maruti alto lxi,2012,185000,60000,petrol,individual,manual,second owner,19.7,796.0
volkswagen polo diesel highline 1.2l,2013,550000,38000,diesel,individual,manual,first owner,22.07,1199.0
maruti wagon r duo lxi,2012,300000,100000,lpg,individual,manual,second owner,26.2,998.0
maruti omni e 8 str std,2012,175000,60000,petrol,individual,manual,third owner,19.462816502829906,1430.789693178433
toyota innova 2.5 g (diesel) 8 seater bs iv,2011,900000,110000,diesel,individual,manual,first owner,12.8,2494.0
honda br-v i-dtec s mt,2016,900000,92000,diesel,individual,manual,first owner,21.9,1498.0
mahindra bolero 2011-2019 plus ac,2012,550000,180000,diesel,individual,manual,third owner,15.96,2523.0
maruti baleno zeta 1.2,2018,625000,10000,petrol,individual,manual,first owner,21.4,1197.0
maruti alto 800 vxi,2017,310000,35000,petrol,individual,manual,second owner,24.7,796.0
maruti swift ddis ldi,2017,500000,35000,diesel,individual,manual,first owner,28.4,1248.0
hyundai grand i10 crdi sportz,2016,610000,23000,diesel,individual,manual,first owner,24.0,1120.0
tata indigo cs lx (tdi) bs iii,2012,150000,150000,diesel,individual,manual,third owner,19.09,1396.0
hyundai xcent 1.1 crdi sx option,2015,480000,70000,diesel,individual,manual,first owner,24.4,1120.0
hyundai i20 1.2 asta option,2017,650000,40000,petrol,individual,manual,first owner,18.6,1197.0
hyundai i20 1.4 crdi magna,2012,290000,100000,diesel,individual,manual,second owner,21.9,1396.0
maruti alto 800 lxi,2017,300000,50000,petrol,individual,manual,second owner,24.7,796.0
maruti swift dzire vdi,2010,270000,120000,diesel,individual,manual,fourth & above owner,19.3,1248.0
hyundai xcent 1.1 crdi s,2015,400000,60000,diesel,individual,manual,second owner,24.4,1120.0
maruti alto 800 lx,2015,280000,28000,petrol,individual,manual,second owner,22.74,796.0
maruti swift dzire vxi,2009,250000,60000,petrol,individual,manual,third owner,17.5,1298.0
maruti swift dzire vdi,2012,495000,80000,diesel,individual,manual,second owner,19.3,1248.0
ford endeavour 3.2 titanium at 4x4,2018,3250000,12000,diesel,individual,automatic,first owner,10.91,3198.0
honda amaze v petrol bsiv,2019,700000,4500,petrol,individual,manual,first owner,19.5,1199.0
tata indigo ecs vx bsiv,2013,310000,70000,diesel,individual,manual,first owner,25.0,1396.0
renault duster 85ps diesel rxe,2017,650000,120000,diesel,individual,manual,first owner,19.87,1461.0
honda jazz 1.2 v at i vtec,2015,600000,80000,petrol,individual,automatic,first owner,19.0,1199.0
tata new safari dicor 2.2 ex 4x2,2009,150000,150000,diesel,individual,manual,fourth & above owner,11.57,2179.0
mahindra renault logan 1.4 glx petrol,2009,135000,120000,petrol,individual,manual,first owner,15.7,1390.0
maruti swift dzire vdi,2014,650000,50000,diesel,individual,manual,first owner,23.4,1248.0
honda city v mt,2012,550000,83000,petrol,individual,manual,first owner,16.8,1497.0
maruti swift dzire vdi,2017,650000,20000,diesel,individual,manual,first owner,28.4,1248.0
toyota fortuner 2.8 2wd at bsiv,2018,2900000,49000,diesel,individual,automatic,first owner,12.9,2755.0
honda brio 1.2 vx mt,2017,450000,6750,petrol,individual,manual,first owner,18.5,1198.0
maruti ciaz vxi plus,2015,650000,26000,petrol,individual,manual,first owner,20.73,1373.0
hyundai grand i10 1.2 kappa era,2017,430000,52000,petrol,individual,manual,first owner,17.0,1197.0
hyundai creta 1.6 crdi at s plus,2017,1143000,51000,diesel,individual,automatic,first owner,17.01,1582.0
maruti swift amt zxi plus bsiv,2019,700000,20000,petrol,individual,automatic,first owner,22.0,1197.0
maruti ritz vxi,2011,229999,18500,petrol,individual,manual,first owner,18.5,1197.0
mahindra tuv 300 t4,2017,509999,142000,diesel,individual,manual,first owner,18.49,1493.0
ford ecosport 1.5 ti vct mt trend bsiv,2016,670000,50478,petrol,individual,manual,first owner,15.85,1499.0
tata tiago 1.2 revotron xza,2019,525000,9200,petrol,individual,automatic,first owner,23.84,1199.0
renault duster 85ps diesel rxe,2016,515000,40000,diesel,individual,manual,first owner,19.87,1461.0
maruti baleno delta,2020,630000,5000,petrol,individual,manual,first owner,21.01,1197.0
datsun redigo a,2019,270000,2300,petrol,individual,manual,first owner,22.7,799.0
maruti alto 800 lxi,2016,300000,40000,petrol,individual,manual,first owner,22.74,796.0
mahindra xylo d2 bsiv,2012,250000,119000,diesel,individual,manual,first owner,14.0,2489.0
maruti alto lx,2005,90000,100000,petrol,individual,manual,fourth & above owner,19.7,796.0
maruti ertiga shvs zdi plus,2017,750000,100000,diesel,individual,manual,first owner,24.52,1248.0
maruti wagon r lxi minor,2009,135000,50000,petrol,individual,manual,second owner,18.9,1061.0
maruti eeco smiles 5 seater ac,2013,275000,80000,petrol,individual,manual,second owner,15.1,1196.0
tata nexon 1.2 revotron xm,2018,740000,15000,petrol,individual,manual,first owner,17.0,1198.0
toyota yaris v bsiv,2018,1000000,4295,petrol,trustmark dealer,manual,first owner,17.1,1496.0
toyota yaris v bsiv,2018,1000000,5229,petrol,trustmark dealer,manual,first owner,17.1,1496.0
hyundai grand i10 nios sportz,2019,550000,4701,petrol,trustmark dealer,manual,first owner,20.7,1197.0
maruti baleno alpha,2016,600000,6757,petrol,trustmark dealer,manual,first owner,21.01,1197.0
skoda rapid 1.6 mpi at style plus,2016,675000,28182,petrol,trustmark dealer,automatic,first owner,14.3,1598.0
nissan kicks xv bsiv,2019,950000,11533,petrol,trustmark dealer,manual,first owner,14.23,1498.0
honda city i vtec v,2017,850000,11688,petrol,trustmark dealer,manual,first owner,17.8,1497.0
toyota corolla altis 1.8 vl at,2012,550000,57728,petrol,trustmark dealer,automatic,first owner,14.53,1794.0
maruti ciaz 1.3 alpha,2018,925000,23712,diesel,trustmark dealer,manual,first owner,28.09,1248.0
ford ecosport 1.5 ti vct at titanium,2015,625000,70670,petrol,trustmark dealer,automatic,first owner,16.5,1499.0
maruti alto 800 lxi,2014,200000,43381,petrol,dealer,manual,second owner,22.74,796.0
honda city i vtec cvt vx,2014,635000,79011,petrol,trustmark dealer,automatic,first owner,18.0,1497.0
maruti sx4 vdi,2014,425000,50000,diesel,individual,manual,second owner,21.79,1248.0
maruti wagon r vxi bs iv,2011,220000,40000,petrol,individual,manual,first owner,18.9,998.0
hyundai grand i10 1.2 kappa asta,2018,590000,10000,petrol,individual,manual,first owner,18.9,1197.0
mahindra thar crde,2017,775000,35000,diesel,individual,manual,first owner,16.55,2498.0
maruti ritz vxi,2015,350000,58500,petrol,individual,manual,first owner,18.5,1197.0
maruti baleno delta 1.2,2018,575000,20000,petrol,individual,manual,first owner,21.4,1197.0
nissan micra xl,2011,200000,43500,petrol,individual,manual,second owner,18.06,1198.0
tata hexa xt,2018,1575000,30000,diesel,individual,manual,first owner,17.6,2179.0
ford ecosport 1.5 tdci titanium bsiv,2015,600000,63000,diesel,individual,manual,first owner,22.77,1498.0
mahindra bolero 2011-2019 zlx bsiii,2016,720000,35000,diesel,individual,manual,first owner,15.96,2523.0
tata indigo ecs ls tdi bsiii,2012,158000,110000,diesel,individual,manual,second owner,19.09,1396.0
tata hexa xt,2018,1575000,25000,diesel,individual,manual,first owner,17.6,2179.0
hyundai xcent 1.2 vtvt s at,2017,580000,30000,petrol,individual,automatic,first owner,17.36,1197.0
mahindra bolero 2011-2019 slx,2012,420000,50000,diesel,individual,manual,first owner,15.96,2523.0
mahindra marazzo m6 8str,2018,1200000,35000,diesel,individual,manual,first owner,17.3,1497.0
renault kwid 1.0 rxt optional,2018,350000,30000,petrol,individual,manual,first owner,23.01,999.0
honda city i vtec vx,2014,650000,56000,petrol,individual,manual,first owner,17.4,1497.0
maruti wagon r vxi bs iv,2017,400000,12700,petrol,individual,manual,first owner,20.51,998.0
tata nexon 1.5 revotorq xm,2018,700000,35000,diesel,individual,manual,first owner,21.5,1497.0
hyundai xcent 1.2 kappa sx,2017,520000,30000,petrol,individual,manual,first owner,19.1,1197.0
mahindra scorpio lx bsiv,2012,450000,120000,diesel,individual,manual,first owner,12.05,2179.0
tata safari storme ex,2017,850000,100000,diesel,individual,manual,first owner,14.1,2179.0
renault kwid rxt,2017,350000,34000,petrol,individual,manual,first owner,25.17,799.0
mahindra xylo d2,2011,450000,56000,diesel,individual,manual,first owner,13.0,2489.0
hyundai i10 era,2008,165000,90000,petrol,individual,manual,first owner,19.81,1086.0
hyundai santro xing gls,2010,160000,65000,petrol,individual,manual,second owner,17.92,1086.0
tata new safari dicor 2.2 ex 4x4,2011,300000,80000,diesel,individual,manual,first owner,13.93,2179.0
mahindra scorpio vlx 2wd bsiv,2012,550000,90000,diesel,individual,manual,third owner,12.05,2179.0
maruti alto k10 vxi,2015,285000,40000,petrol,individual,manual,first owner,23.95,998.0
maruti ertiga zxi plus petrol,2018,900000,25000,petrol,individual,manual,first owner,19.34,1462.0
maruti alto lxi bsiii,2005,180000,49455,petrol,individual,manual,first owner,19.7,796.0
hyundai eon d lite plus option,2016,220000,100000,petrol,individual,manual,first owner,21.1,814.0
tata indica vista quadrajet ls,2013,120000,120000,diesel,individual,manual,first owner,22.3,1248.0
hyundai i20 asta optional with sunroof 1.2,2010,220000,90000,petrol,individual,manual,fourth & above owner,17.0,1197.0
chevrolet sail hatchback ls abs,2013,420000,46815,diesel,individual,manual,second owner,22.1,1248.0
tata indica vista tdi ls,2013,160000,110000,diesel,individual,manual,first owner,19.4,1405.0
hyundai eon era plus,2015,250000,80000,petrol,individual,manual,first owner,21.1,814.0
maruti ertiga zdi,2013,385000,100000,diesel,individual,manual,third owner,20.77,1248.0
maruti wagon r vxi bs iv with abs,2014,318000,80000,petrol,individual,manual,first owner,20.51,998.0
hyundai xcent 1.2 vtvt s,2018,480000,40000,petrol,individual,manual,first owner,20.14,1197.0
maruti celerio vxi,2015,330000,70000,petrol,individual,manual,third owner,23.1,998.0
tata indica vista aqua 1.4 tdi,2011,152000,80000,diesel,individual,manual,first owner,17.0,1405.0
maruti alto 800 lxi,2014,250000,40000,petrol,individual,manual,first owner,22.74,796.0
tata indica vista aqua 1.4 tdi,2011,248000,80000,diesel,individual,manual,first owner,17.0,1405.0
nissan micra xv,2011,300000,60000,petrol,individual,manual,second owner,18.06,1198.0
hyundai i20 1.2 spotz,2017,550000,50000,petrol,individual,manual,first owner,18.6,1197.0
hyundai i20 sportz 1.4 crdi,2016,650000,30000,diesel,individual,manual,first owner,22.54,1396.0
hyundai grand i10 magna,2017,445000,25000,petrol,individual,manual,first owner,18.9,1197.0
toyota innova 2.5 v diesel 7-seater,2010,450000,334000,diesel,individual,manual,first owner,12.8,2494.0
mahindra nuvosport n8,2016,600000,100000,diesel,individual,manual,first owner,17.45,1493.0
renault duster adventure edition,2014,495000,175000,diesel,individual,manual,first owner,19.01,1461.0
maruti sx4 zxi at,2011,220000,65000,petrol,individual,automatic,third owner,12.6,1586.0
maruti sx4 zxi at,2011,260000,65000,petrol,individual,automatic,third owner,12.6,1586.0
hyundai santro xing gls,2009,150000,90000,petrol,individual,manual,first owner,17.92,1086.0
ford figo diesel titanium,2011,200000,80000,diesel,individual,manual,second owner,20.0,1399.0
mahindra scorpio s11 bsiv,2018,1465000,110000,diesel,individual,manual,first owner,16.36,2179.0
toyota etios liva gd,2012,285000,80000,diesel,individual,manual,second owner,19.462816502829906,1430.789693178433
honda civic hybrid,2008,250000,60000,petrol,individual,automatic,third owner,20.0,1339.0
mahindra xylo d4,2014,310000,160000,diesel,individual,manual,first owner,14.95,2489.0
mahindra scorpio vlx 4wd airbag at bsiv,2010,600000,100875,diesel,individual,automatic,first owner,11.79,2179.0
maruti baleno delta 1.2,2018,560000,20000,petrol,individual,manual,first owner,21.4,1197.0
maruti swift dzire vxi,2016,500000,30000,petrol,individual,manual,first owner,20.85,1197.0
hyundai grand i10 crdi asta option,2013,270000,118000,diesel,individual,manual,first owner,24.0,1120.0
hyundai verna 1.6 sx,2013,420000,69000,diesel,individual,manual,third owner,22.32,1582.0
maruti swift dzire lxi,2015,434999,25000,petrol,individual,manual,second owner,20.85,1197.0
hyundai xcent 1.2 kappa at s option,2015,400000,100000,petrol,individual,automatic,first owner,16.9,1197.0
maruti swift dzire vdi,2015,470000,110000,diesel,individual,manual,first owner,26.59,1248.0
nissan terrano xl 85 ps,2015,480000,60000,diesel,individual,manual,third owner,20.45,1461.0
hyundai santro xing gl,2008,105000,128000,petrol,individual,manual,first owner,0.0,1086.0
tata tiago 1.05 revotorq xe,2017,325000,120000,diesel,individual,manual,first owner,27.28,1047.0
toyota etios liva gd,2012,280000,80000,diesel,individual,manual,second owner,19.462816502829906,1430.789693178433
hyundai grand i10 nios amt sportz,2020,675000,5000,petrol,individual,automatic,first owner,20.7,1197.0
hyundai i10 sportz option,2009,170000,90000,petrol,individual,manual,second owner,20.36,1197.0
hyundai creta 1.6 crdi sx option,2017,1250000,90000,diesel,individual,manual,first owner,19.67,1582.0
honda accord 2.4 m/t,2012,600000,144030,petrol,individual,manual,first owner,12.8,2354.0
honda city i dtec vx,2014,819999,200000,diesel,individual,manual,first owner,25.1,1498.0
hyundai i20 2015-2017 asta option 1.2,2016,650000,29000,petrol,individual,manual,first owner,18.6,1197.0
maruti wagon r lxi duo bsiii,2007,105000,90000,lpg,individual,manual,second owner,17.3,1061.0
mahindra renault logan 1.5 diesel dlsx,2009,200000,176000,diesel,individual,manual,second owner,17.0,1461.0
tata indigo cs lx (tdi) bs iii,2013,200000,150000,diesel,individual,manual,first owner,19.09,1396.0
maruti omni e mpi std bs iv,2016,220000,90000,petrol,individual,manual,first owner,16.8,796.0
volkswagen vento 1.6 highline,2014,500000,70000,petrol,individual,manual,second owner,15.04,1598.0
mahindra renault logan 1.5 dlx diesel,2007,175000,99000,diesel,individual,manual,second owner,19.2,1461.0
tata tiago 1.2 revotron xz,2018,450000,5000,petrol,individual,manual,first owner,23.84,1199.0
chevrolet optra magnum 2.0 lt,2008,210000,90000,diesel,individual,manual,fourth & above owner,16.52,1991.0
maruti ritz vdi,2011,270000,89000,diesel,individual,manual,second owner,21.1,1248.0
tata indica v2 dls tc,2006,110000,88000,diesel,individual,manual,second owner,16.8,1405.0
maruti swift dzire vdi,2015,480000,30000,diesel,individual,manual,first owner,26.59,1248.0
maruti swift dzire amt zdi,2016,650000,50000,diesel,individual,automatic,second owner,26.59,1248.0
maruti swift dzire vdi,2013,480000,80000,diesel,individual,manual,first owner,23.4,1248.0
hyundai i20 asta option 1.4 crdi,2016,700000,40000,diesel,individual,manual,first owner,22.54,1396.0
maruti ertiga vdi,2015,650000,110000,diesel,individual,manual,third owner,20.77,1248.0
hyundai creta 1.6 crdi sx plus dual tone,2015,1300000,48000,diesel,individual,manual,second owner,19.67,1582.0
volkswagen jetta 2.0l tdi highline at,2016,1350000,97000,diesel,individual,automatic,first owner,16.96,1968.0
volkswagen vento 1.5 tdi highline at,2016,1000000,60000,diesel,individual,automatic,first owner,22.15,1498.0
mercedes-benz m-class ml 350 4matic,2011,1700000,110000,diesel,individual,automatic,third owner,0.0,2987.0
toyota yaris v cvt bsiv,2018,1080000,12800,petrol,individual,automatic,first owner,17.8,1496.0
hyundai eon d lite,2012,170000,40000,petrol,individual,manual,first owner,21.1,814.0
maruti swift ddis vdi,2017,610000,49000,diesel,individual,manual,first owner,28.4,1248.0
maruti ritz vxi,2014,350000,25000,petrol,individual,manual,first owner,18.5,1197.0
maruti alto 800 lxi,2016,260000,65000,petrol,individual,manual,second owner,22.74,796.0
fiat linea 1.3 multijet emotion,2015,700000,20000,diesel,individual,manual,first owner,20.4,1248.0
volkswagen polo 2015-2019 1.0 mpi highline plus,2018,678000,17000,petrol,individual,manual,first owner,18.78,999.0
maruti sx4 s cross 2015-2017 ddis 200 zeta,2015,800000,15000,diesel,individual,manual,first owner,23.65,1248.0
toyota etios gd,2014,400000,120000,diesel,individual,manual,second owner,23.59,1364.0
hyundai i20 magna,2010,300000,49000,petrol,individual,manual,first owner,18.5,1197.0
hyundai i20 2015-2017 magna 1.2,2016,520000,29000,petrol,individual,manual,first owner,18.6,1197.0
nissan terrano xv d premium amt,2017,850000,55000,diesel,individual,automatic,first owner,19.61,1461.0
mahindra marazzo m8,2019,1460000,5000,diesel,individual,manual,first owner,17.3,1497.0
tata nexon 1.5 revotorq xz plus,2017,830000,35000,diesel,individual,manual,first owner,21.5,1497.0
datsun go t option bsiv,2018,430000,5000,petrol,individual,manual,second owner,20.63,1198.0
ford ecosport 1.5 tdci platinum edition bsiv,2017,850000,60000,diesel,individual,manual,first owner,22.77,1498.0
maruti swift dzire zxi,2017,650000,70000,petrol,individual,manual,first owner,20.85,1197.0
hyundai verna crdi,2008,120000,120000,diesel,individual,manual,second owner,16.8,1493.0
mahindra tuv 300 t8,2016,730000,65100,diesel,individual,manual,second owner,18.49,1493.0
maruti ignis 1.2 amt delta bsiv,2019,525000,20000,petrol,individual,automatic,first owner,20.89,1197.0
hyundai i20 active 1.4 sx,2015,600000,108000,diesel,individual,manual,first owner,21.19,1396.0
maruti swift lxi,2019,500000,15000,petrol,individual,manual,first owner,21.21,1197.0
hyundai santro xing gls,2009,150000,77000,petrol,individual,manual,first owner,17.92,1086.0
maruti wagon r vxi bs iv,2015,409999,18500,petrol,individual,manual,first owner,20.51,998.0
mahindra tuv 300 t8,2016,625000,120000,diesel,individual,manual,first owner,18.49,1493.0
renault kwid rxt,2015,290000,15200,petrol,individual,manual,first owner,25.17,799.0
honda mobilio v i vtec,2015,500000,35000,petrol,individual,manual,first owner,17.3,1497.0
hyundai verna 1.6 sx,2011,475000,80000,diesel,individual,manual,first owner,22.32,1582.0
hyundai eon era plus,2013,190000,70000,petrol,individual,manual,first owner,21.1,814.0
mahindra xuv500 w6 2wd,2014,750000,80000,diesel,individual,manual,second owner,15.1,2179.0
nissan terrano xv 110 ps,2014,525000,120000,diesel,individual,manual,second owner,19.01,1461.0
chevrolet cruze ltz,2012,495000,82000,diesel,individual,manual,third owner,17.3,1998.0
honda city 1.5 v at,2010,321000,60000,petrol,individual,automatic,second owner,16.8,1497.0
toyota etios liva 1.2 v dual tone,2017,585000,50000,petrol,individual,manual,first owner,17.71,1197.0
ford figo diesel exi,2011,225000,70000,diesel,individual,manual,first owner,20.0,1399.0
honda amaze e i-dtec,2017,500000,70000,diesel,individual,manual,first owner,25.8,1498.0
hyundai i20 1.4 crdi asta,2011,350000,90000,diesel,individual,manual,third owner,23.0,1396.0
maruti ertiga shvs ldi option,2016,756000,70000,diesel,individual,manual,second owner,24.52,1248.0
maruti alto 800 vxi,2014,240000,50000,petrol,individual,manual,first owner,22.74,796.0
maruti omni 8 seater bsii,2012,80000,120000,petrol,individual,manual,second owner,19.7,796.0
hyundai i20 active s petrol,2019,800000,5000,petrol,individual,manual,first owner,17.19,1197.0
tata hexa xe,2018,1250000,25000,diesel,individual,manual,first owner,17.6,2179.0
mahindra scorpio vls 2.2 mhawk,2009,320000,80000,diesel,individual,manual,third owner,12.05,2179.0
hyundai grand i10 sportz,2017,509999,25000,petrol,individual,manual,first owner,18.9,1197.0
tata zest quadrajet 1.3 75ps xe,2019,650000,15000,diesel,individual,manual,first owner,22.95,1248.0
maruti alto k10 2010-2014 vxi,2011,210000,35000,petrol,individual,manual,second owner,20.92,998.0
maruti alto lxi,2008,110000,80000,petrol,individual,manual,second owner,19.7,796.0
tata nexon 1.5 revotorq xe,2017,665000,25000,diesel,individual,manual,first owner,21.5,1497.0
volkswagen ameo 1.5 tdi comfortline,2017,555000,52000,diesel,individual,manual,first owner,21.66,1498.0
volkswagen ameo 1.5 tdi comfortline,2017,560000,52000,diesel,individual,manual,first owner,21.66,1498.0
mahindra kuv 100 mfalcon d75 k6 plus,2016,375000,80000,diesel,individual,manual,first owner,25.32,1198.0
maruti swift vdi bsiv w abs,2011,290000,77000,diesel,individual,manual,second owner,19.462816502829906,1430.789693178433
toyota fortuner 2.8 4wd at bsiv,2017,2950000,50000,diesel,individual,automatic,first owner,15.04,2755.0
maruti swift dzire vdi,2017,605000,127000,diesel,individual,manual,first owner,28.4,1248.0
honda wr-v i-vtec vx,2017,720000,30000,petrol,individual,manual,first owner,17.5,1199.0
maruti ertiga shvs zdi plus,2017,800000,70000,diesel,individual,manual,first owner,24.52,1248.0
mahindra xuv500 w10 2wd,2017,1325000,54000,diesel,individual,manual,first owner,16.0,2179.0
mitsubishi pajero 2.8 sfx bsiii single tone,2011,625000,120000,diesel,individual,manual,second owner,10.5,2835.0
hyundai i20 1.4 crdi sportz,2011,350000,116500,diesel,individual,manual,first owner,23.0,1396.0
toyota innova 2.5 g (diesel) 8 seater,2012,600000,145000,diesel,individual,manual,second owner,12.99,2494.0
hyundai i20 sportz 1.2,2012,300000,120000,petrol,individual,manual,first owner,18.5,1197.0
tata new safari dicor 2.2 vx 4x2 bs iv,2011,240000,120000,diesel,individual,manual,first owner,13.93,2179.0
